Sample_region_country,Country,Observatory-ID,ARMS-ID,Latitude,Longitude,Depth_m,Monitoring_area,Deployment_date,Retrieval_date,Days_Deployed,Fraction,Filename
North Sea (Belgium),Belgium,BelgianCoast,AZFPin ,51.66522,2.82558,37,LHI,2018-07-12,2018-08-18,37,MF500,BelgianCoast.AZFPin.2018.MF500
North Sea (Belgium),Belgium,BelgianCoast,AZFPin ,51.66522,2.82558,37,LHI,2018-07-12,2018-08-18,37,MF200,BelgianCoast.AZFPin.180712.180818.MF200.EtOH
North Sea (Belgium),Belgium,BelgianCoast,ZBE1,51.364298,3.20701,7,Marina,2019-09-24,2020-03-03,161,MT100,BelgianCoast.ZBE1.190924.200303.MT100
North Sea (Belgium),Belgium,BelgianCoast,ZBE1,51.364298,3.20701,7,Marina,2019-09-24,2020-03-03,161,SF40,BelgianCoast.ZBE1.190924.200303.SF40
North Sea (Belgium),Belgium,BelgianCoast,JJC81,51.6533567,2.79178508,38,LHI,2020-05-13,2020-10-12,152,MF100,BelgianCoast.JJ.C8.1.200506.201012.MF100
North Sea (Belgium),Belgium,BelgianCoast,JJC81,51.6533567,2.79178508,38,LHI,2020-05-13,2020-10-12,152,MF500,BelgianCoast.JJ.C8.1.200506.201012.MF500
North Sea (Belgium),Belgium,BelgianCoast,JJC86,51.65264,2.79369998,37,LHI,2020-05-13,2020-10-12,152,MF100,BelgianCoast.JJ.C8.6.200506.201012.MF100
North Sea (Belgium),Belgium,BelgianCoast,JJC86,51.65264,2.79369998,37,LHI,2020-05-13,2020-10-12,152,MF500,BelgianCoast.JJ.C8.6.200506.201012.MF500
North Sea (Belgium),Belgium,BelgianCoast,JJCD78,51.65374944,2.79602577,38,LHI,2020-05-13,2020-10-12,152,MF100,BelgianCoast.JJ.CD78.200506.201012.MF100
Bay of Biscay (Spain),Spain,Getxo,G1 ,43.338452,-3.014833,5,Marina,2019-06-24,2019-10-16,114,MF100,Getxo.1.2019.MF100
Bay of Biscay (Spain),Spain,Getxo,G1 ,43.338452,-3.014833,5,Marina,2019-06-24,2019-10-16,114,MF500,Getxo.1.2019.MF500
Bay of Biscay (Spain),Spain,Getxo,G1 ,43.338452,-3.014833,5,Marina,2019-06-24,2019-10-16,114,SF40,Getxo.1.2019.SF40
Bay of Biscay (Spain),Spain,Getxo,G2 ,43.3385,-3.01491,5,Marina,2019-06-24,2019-10-16,114,MF500,Getxo.2.2019.MF500
Bay of Biscay (Spain),Spain,Getxo,G2 ,43.3385,-3.01491,5,Marina,2019-06-24,2019-10-16,114,SF40,Getxo.2A.2019.SF40
Bay of Biscay (Spain),Spain,Getxo,G2 ,43.3385,-3.01491,5,Marina,2019-06-24,2019-10-16,114,SF40,Getxo.2B.2019.SF40
Bay of Biscay (Spain),Spain,Getxo,G3 ,43.33843,-3.01483,5,Marina,2019-06-24,2019-10-16,114,MF100,Getxo.3.2019.MF100
Bay of Biscay (Spain),Spain,Getxo,G3 ,43.33843,-3.01483,5,Marina,2019-06-24,2019-10-16,114,MF500,Getxo.3.2019.MF500
Bay of Biscay (Spain),Spain,Getxo,G3 ,43.33843,-3.01483,5,Marina,2019-06-24,2019-10-16,114,SF40,Getxo.3A.2019.SF40
Bay of Biscay (Spain),Spain,Getxo,G3 ,43.33843,-3.01483,5,Marina,2019-06-24,2019-10-16,114,SF40,Getxo.3B.2019.SF40
Bay of Biscay (Spain),Spain,Getxo,G3 ,43.33843,-3.01483,5,Marina,2019-06-24,2019-10-16,114,SF40,Getxo.3C.2019.SF40
North Sea Skagerrak (Sweden),Sweden,Koster,VH2 ,58.87633,11.111884,22,MPA,2018-04-18,2018-09-06,141,SF40,Koster.VH2.SF40.2018
North Sea Skagerrak (Sweden),Sweden,Koster,VH2 ,58.87633,11.111884,22,MPA,2018-04-18,2018-09-06,141,MF100,Koster.VH2.MF100.2018.EtOH
North Sea Skagerrak (Sweden),Sweden,Koster,VH2 ,58.87633,11.111884,22,MPA,2018-04-18,2018-09-06,141,MF500,Koster.VH2.MF500.2018.EtOH
North Sea Skagerrak (Sweden),Sweden,Koster,VH1 ,58.875155,11.103194,24,MPA,2019-05-27,2020-07-16,416,MF100,Koster.VH1.MF100.2019
North Sea Skagerrak (Sweden),Sweden,Koster,VH1 ,58.875155,11.103194,24,MPA,2019-05-27,2020-07-16,416,MF500,Koster.VH1.MF500.2019
North Sea Skagerrak (Sweden),Sweden,Koster,VH1 ,58.875155,11.103194,24,MPA,2019-05-27,2020-07-16,416,SF40,Koster.VH1.SF40.2019
North Sea Skagerrak (Sweden),Sweden,Koster,VH3 ,58.859877,11.080491,25,MPA,2019-05-27,2020-07-16,416,MF100,Koster.VH3.MF100.2019
North Sea Skagerrak (Sweden),Sweden,Koster,VH3 ,58.859877,11.080491,25,MPA,2019-05-27,2020-07-16,416,MF500,Koster.VH3.MF500.2019
North Sea Skagerrak (Sweden),Sweden,Koster,VH1 ,58.875155,11.103194,24,MPA,2020-07-16,2021-06-08,327,MF100,Koster.VH1.MF100.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH1 ,58.875155,11.103194,24,MPA,2020-07-16,2021-06-08,327,MF500,Koster.VH1.MF500.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH1 ,58.875155,11.103194,24,MPA,2020-07-16,2021-06-08,327,SF40,Koster.VH1.SF40.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH2 ,58.87633,11.111884,22,MPA,2020-07-16,2021-06-08,327,MF100,Koster.VH2.MF100.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH2 ,58.87633,11.111884,22,MPA,2020-07-16,2021-06-08,327,MF500,Koster.VH2.MF500.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH2 ,58.87633,11.111884,22,MPA,2020-07-16,2021-06-08,327,SF40,Koster.VH2.SF40.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH3 ,58.859877,11.080491,25,MPA,2020-07-16,2021-06-08,327,MF100,Koster.VH3.MF100.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH3 ,58.859877,11.080491,25,MPA,2020-07-16,2021-06-08,327,MF500,Koster.VH3.MF500.2020
North Sea Skagerrak (Sweden),Sweden,Koster,VH3 ,58.859877,11.080491,25,MPA,2020-07-16,2021-06-08,327,SF40,Koster.VH3.SF40.2020
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef1 ,57.25689,11.14193,10,LHI,2019-08-19,2020-08-11,358,MF100,Laesoe1.190819.200811.MF100.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef1 ,57.25689,11.14193,10,LHI,2019-08-19,2020-08-11,358,MF500,Laesoe1.190819.200811.MF500.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef1 ,57.25689,11.14193,10,LHI,2019-08-19,2020-08-11,358,SF40,Laesoe1.190819.200811.SF40.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef2 ,57.25692,11.14197,10,LHI,2019-08-19,2020-08-11,358,MF100,Laesoe2.190819.200811.MF100.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef2 ,57.25692,11.14197,10,LHI,2019-08-19,2020-08-11,358,MF500,Laesoe2.190819.200811.MF500.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef2 ,57.25692,11.14197,10,LHI,2019-08-19,2020-08-11,358,SF40,Laesoe2.190819.200811.SF40.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef3 ,57.25692,11.14199,10,LHI,2019-08-19,2020-08-11,358,MF100,Laesoe3.190819.200811.MF100.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef3 ,57.25692,11.14199,10,LHI,2019-08-19,2020-08-11,358,MF500,Laesoe3.190819.200811.MF500.A
North Sea Kattegat (Denmark),Denmark,Laeso,Bluereef3 ,57.25692,11.14199,10,LHI,2019-08-19,2020-08-11,358,SF40,Laesoe3.190819.200811.SF40.A
North Sea (Denmark),Denmark,Limfjord,Yellow8,56.902366,9.055797,4,LHI,2019-06-18,2019-10-29,133,MF100,Limfjord.Yellow8.2019.MF100
North Sea (Denmark),Denmark,Limfjord,Yellow8,56.902366,9.055797,4,LHI,2019-06-18,2019-10-29,133,MF500,Limfjord.Yellow8.2019.MF500
North Sea (Denmark),Denmark,Limfjord,Yellow8,56.902366,9.055797,4,LHI,2019-06-18,2019-10-29,133,SF40,Limfjord.Yellow8.2019.SF40
North Sea (Denmark),Denmark,Limfjord,Green33 ,56.901246,9.058189,4,LHI,2019-06-18,2019-10-29,133,MF100,Limfjord.Green33.2019.MF100
North Sea (Denmark),Denmark,Limfjord,Green33 ,56.901246,9.058189,4,LHI,2019-06-18,2019-10-29,133,MF500,Limfjord.Green33.2019.MF500
North Sea (Denmark),Denmark,Limfjord,Green33 ,56.901246,9.058189,4,LHI,2019-06-18,2019-10-29,133,SF40,Limfjord.Green33.2019.SF40
