"Specieslist","n"
"Acartia bifilosa",2
"Acartia clausi",2
"Acartia hudsonica",5
"Acartia longiremis",2
"Acartia margalefi",3
"Acartia tonsa",1
"Acrocnida brachiata",1
"Aeolidia papillosa",1
"Aetea truncata",6
"Alcyonium digitatum",1
"Aleochara obscurella",1
"Alitta saltoni",1
"Alitta succinea",1
"Alitta virens",1
"Alvania punctura",1
"Amathia gracilis",2
"Amathia imbricata",2
"Amblyosyllis madeirensis",1
"Amphiascopsis cinctus",5
"Amphibalanus amphitrite",3
"Amphibalanus eburneus",7
"Amphibalanus improvisus",1
"Amphinema dinema",4
"Amphipholis squamata",1
"Amphiporus allucens",1
"Amphitrite figulus",1
"Amphiura chiajei",1
"Amphiura filiformis",32
"Ampithoe helleri",1
"Ancula gibbosa",1
"Anteaeolidiella lurana",1
"Antedon bifida",1
"Aora gracilis",6
"Aora spinicornis",1
"Aora typica",1
"Apherusa bispinosa",1
"Apherusa jurinei",4
"Apionsoma misakianum",1
"Arbacia lixula",1
"Arctica islandica",1
"Arenicola defodiens",1
"Aricidea minuta",1
"Ascidia ahodori",1
"Ascidia conchilega",2
"Ascidia mentula",10
"Ascidia virginea",1
"Ascidiella aspersa",8
"Ascidiella scabra",3
"Asterias rubens",5
"Asterina gibbosa",5
"Athanas nitescens",4
"Aurelia aurita",6
"Austrominius modestus",12
"Bactrocera oleae",1
"Balanus amphitrite",3
"Balanus balanus",39
"Balanus crenatus",45
"Balanus trigonus",7
"Barentsia gracilis",2
"Bittium reticulatum",8
"Botrylloides leachii",6
"Botrylloides violaceus",2
"Botryllus schlosseri",2
"Bougainvillia britannica",1
"Bougainvillia muscus",19
"Bowerbankia gracilis complex",1
"Brachidontes pharaonis",1
"Bugula neritina",1
"Bugulina fulva",1
"Bulbamphiascus imus",1
"Calanus finmarchicus",3
"Calliopius laeviusculus",7
"Calliostoma zizyphinum",1
"Callopora lineata",15
"Callyspongia plicifera",1
"Campanularia hincksii",7
"Candelabrum cocksii",1
"Canis familiaris",1
"Caprella linearis",3
"Caprella mutica",2
"Carcinus maenas",2
"Carinina ochracea",1
"Cassiopea andromeda",1
"Catriona aurantia",1
"Cellepora pumicosa",1
"Celleporaria brunnea",1
"Celleporella hyalina",6
"Centropages hamatus",25
"Cephalothix rufifrons",1
"Cephalothrix filiformis",1
"Cephalothrix linearis",1
"Cephalothrix rufifrons",5
"Cephalothrix simula",1
"Cephalothrix spiralis",1
"Cerastoderma edule",3
"Cerastoderma glaucum",1
"Cheirocratus sundevallii",1
"Chironomus aprilinus",2
"Chironomus plumosus",1
"Ciliata mustela",1
"Ciona intestinalis",14
"Clathria toxitenuis",1
"Clausocalanus furcatus",1
"Clava multicornis",1
"Clavelina lepadiformis",1
"Cletodes limicola",2
"Cletodes tenuipes",2
"Cliona celata",2
"Clione limacina",1
"Clunio marinus",1
"Clytia gracilis",6
"Clytia hemisphaerica",21
"Clytia languida",16
"Clytia paulensis",2
"Clytia xiamenensis",1
"Cordylophora caspia",2
"Corella parallelogramma",8
"Corophium arenarium",1
"Corymorpha nutans",2
"Cradoscrupocellaria reptans",1
"Crepidula fornicata",2
"Cribrilina mutabilis",20
"Crisilla semistriata",4
"Cryptosula pallasiana",30
"Ctenolabrus rupestris",4
"Cyanea capillata",2
"Cylindroporella tubulosa",1
"Dexamine spinosa",3
"Dexamine thea",2
"Diplocirrus glaucus",2
"Diplosoma listerianum",2
"Dodecaceria concharum",1
"Dorypteryx domestica",1
"Dynamena pumila",1
"Echinocardium cordatum",4
"Echinus esculentus",3
"Ectopleura dumortierii",1
"Ectopleura larynx",1
"Edwardsia longicornis",1
"Electra pilosa",42
"Eleutheria dichotoma",1
"Elysia viridis",2
"Embletonia pulchra",1
"Emplectonema gracile",4
"Enchytraeus buchholzi CEI",2
"Endeis spinosa",1
"Enhydrosoma propinquum",1
"Ensis arcuatus",1
"Entomobrya albocincta",1
"Ericthonius punctatus",7
"Escharella immersa",2
"Escharoides coccinea",2
"Eualus cranchii",6
"Eualus gaimardii",1
"Eualus occultus",6
"Eualus pusiolus",2
"Eubranchus doriae",1
"Eubranchus exiguus",109
"Eubranchus rupium",2
"Eucheilota maculata",1
"Eudendrium capillare",3
"Eulalia viridis",4
"Eumida maia",2
"Eunice harassii",2
"Eunoe nodosa",1
"Euphausia recurva",1
"Eupolymnia nebulosa",1
"Eusyllis blomstrandi",4
"Evadne nordmanni",2
"Fabricia stellaris",3
"Facelina bostoniensis",3
"Favorinus branchialis",12
"Flabelligera affinis",2
"Flabellina verrucosa",1
"Galathea nexa",1
"Galathea squamifera",9
"Gammarellus angulosus",1
"Gammarus locusta",2
"Gammarus oceanicus",2
"Gammarus salinus",1
"Gammarus zaddachi",1
"Gitana sarsi",6
"Gobiusculus flavescens",20
"Golfingia vulgaris",1
"Goniada maculata",1
"Goniodoris castanea",1
"Gonionemus vertens",1
"Gonothyraea loveni",6
"Gyptis propinqua",2
"Halichondria bowerbanki",3
"Halichondria panicea",3
"Haliclona cinerea",1
"Haliclystus tenuis",1
"Halisarca dujardinii",4
"Haloschizopera pygmaea",3
"Harmothoe clavigera",1
"Harmothoe imbricata",1
"Harmothoe impar",19
"Harmothoe mariannae",15
"Harpacticus flexus",1
"Harpacticus pacificus",2
"Hediste diversicolor",3
"Herdmania momus",1
"Hesiospina aurantiaca",1
"Heteromastus filiformis",1
"Heteropsyllus curticaudatus",2
"Hexaplex trunculus",1
"Hubrechtella dubia",1
"Hydrobia ulvae",28
"Hydroides elegans",2
"Hypogastrura viatica",1
"Idotea balthica",1
"Idotea granulosa",1
"Igernella notabilis",2
"Ischyrocerus anguipes",11
"Ischyrocerus minutus",3
"Jaera ischiosetosa",2
"Jassa falcata",4
"Jassa herdmani",2
"Jassa slatteryi",2
"Jujubinus striatus",1
"Kirchenpaueria pinnata",3
"Lacuna vincta",2
"Laomedea calceolifera",4
"Laomedea flexuosa",1
"Laonice cirrata",15
"Laophonte longicaudata",4
"Lebbeus polaris",1
"Leimia vaga",2
"Lepadogaster candolii",2
"Lepidonotus squamatus",2
"Leuckartiara octona",5
"Limacia clavigera",1
"Limanda limanda",1
"Limapontia senestra",1
"Lineus bilineatus",5
"Liocarcinus navigator",1
"Liparis montagui",2
"Littorina littorea",2
"Lizzia blondina",3
"Lumbricillus lineatus",2
"Lysilla loveni",1
"Macrochaeta clavicornis",1
"Magelona johnstoni",1
"Magelona mirabilis",1
"Malmgrenia lunulata",1
"Marthasterias glacialis",6
"Mediomastus fragilis",1
"Melinna palmata",1
"Membranipora membranacea",8
"Mesochra pygmaea",1
"Metridium dianthus",1
"Microdeutopus gryllotalpa",4
"Microporella ciliata",7
"Microprotopus maculatus",8
"Micrura fasciolata",1
"Ministeria vibrans",2
"Mitrocomella polydiademata",1
"Modiolula phaseolina",1
"Modiolus barbatus",2
"Monocorophium acherusicum",5
"Monocorophium insidiosum",4
"Musculus costulatus",11
"Musculus subpictus",1
"Myrianida brachycephala",5
"Myrianida edwarsi",5
"Myrianida hesperidium",1
"Myrianida inermis",4
"Myrianida langerhansi",1
"Myrianida longoprimicirrata",1
"Myrianida prolifera",3
"Myrianida rubropunctata",1
"Mytilus edulis",7
"Nais elinguis",3
"Nannonyx goesii",2
"Nassarius incrassatus",1
"Nassarius nitidus",2
"Nephtys hombergii",1
"Nephtys kersivalensis",1
"Nereimyra punctata",4
"Nereis pelagica",5
"Nicolea zostericola",21
"Nitokra spinipes",1
"Normanella mucronata",1
"Normanella obscura",1
"Nucula sulcata",1
"Obelia bidentata",1
"Obelia dichotoma",17
"Obelia geniculata",4
"Obelia longissima",5
"Ocinebrina aciculata",1
"Octobranchus lingulatus",2
"Oerstedia dorsalis",2
"Oithona similis",3
"Omalosecosa ramulosa",1
"Onchidoris bilamellata",2
"Onchidoris muricata",27
"Onoba semicostata",2
"Opercularella lacerata",1
"Ophiocomina nigra",4
"Ophiopholis aculeata",1
"Ophiothrix fragilis",2
"Ophiura grubei",4
"Ophlitaspongia papilla",2
"Ophryotrocha hartmanni",1
"Ophryotrocha puerilis",13
"Orchomene humilis",1
"Oscarella balibaloi",1
"Oscarella viridis",3
"Oxydromus pallidus",2
"Palaemon elegans",1
"Pandalina brevirostris",1
"Paracalanus parvus",7
"Paracaprella pusilla",1
"Paracentrotus lividus",1
"Parachironomus gracilior",1
"Paradoneis lyra",3
"Parajassa pelagica",1
"Paranais litoralis",1
"Patella aspera",1
"Pectinaria koreni",4
"Pedicellina cernua",1
"Penilia avirostris",1
"Perforatus perforatus",3
"Peringia ulvae",11
"Perophora japonica",2
"Phallusia mammilata",1
"Phallusia mammillata",2
"Phialella quadrata",5
"Philactinoposthia ischiae",1
"Philine aperta",1
"Pholoe inornata",19
"Phoronis muelleri",2
"Phtisica marina",6
"Phyllodoce laminosa",1
"Pilumnus hirtellus",3
"Pisidia longicornis",6
"Pista cristata",4
"Platynereis dumerilii",4
"Pleopis polyphemoides",1
"Pleurobranchus membranaceus",1
"Plumularia setacea",3
"Polititapes aureus",2
"Polycera capitata",1
"Polycera quadrilineata",2
"Polycirrus norvegicus",5
"Polydora cornuta",12
"Polygordius appendiculatus",1
"Pomatoceros triqueter",7
"Pomatoschistus microps",14
"Praunus inermis",3
"Protodrilus ciliatus",1
"Psamathe fusca",33
"Psammechinus miliaris",4
"Pseudocalanus acuspes",1
"Pseudocalanus elongatus",1
"Pseudopotamilla reniformis",1
"Psylla buxi",1
"Pterocirrus macroceros",1
"Pusillina inconspicua",10
"Pusillina sarsii",3
"Radix balthica",1
"Raphitoma concinna",2
"Raspailia ramosa",1
"Rhabdodemania major",2
"Rhachotropis inflata",1
"Rhizothrix curvata",1
"Rhizothrix minuta",1
"Rhyssoplax olivacea",1
"Rissoa lilacina",5
"Rissoa parva",30
"Ruditapes decussatus",1
"Sabellaria spinulosa",140
"Sagartia troglodytes",3
"Sarcophaga crassipalpis",1
"Sarsia lovenii",2
"Sarsia tubulosa",2
"Schistomysis kervillei",1
"Schizoporella japonica",1
"Scopalina ceutensis",1
"Scruparia ambigua",2
"Scrupocellaria scruposa",6
"Scyliorhinus canicula",7
"Sirsoe methanicola",2
"Sparus aurata",1
"Spatangus purpureus",1
"Spio decorata",4
"Spio symphyta",5
"Spiralinella spiralis",2
"Spirontocaris phippsi",1
"Spisula subtruncata",7
"Sprattus sprattus",1
"Squalus acanthias",3
"Squalus blainville",2
"Stenothoe monoculoides",2
"Steromphala cineraria",9
"Sthenelais boa",5
"Stomphia coccinea",2
"Streblospio benedicti",3
"Streptosyllis websteri",3
"Strongylacidon bermudae",1
"Strongylocentrotus droebachiensis",3
"Subadyte pellucida",10
"Syllidia armata",18
"Syllis armillaris",1
"Tachidiella minuta",1
"Tachidius discipes",3
"Tanytarsus usmaensis",6
"Telmatogeton japonicus",1
"Temora longicornis",1
"Terebella lapidaria",1
"Terebellides stroemii",1
"Tergipes tergipes",1
"Tetrastemma flavidum",1
"Tetrastemma robertianae",1
"Thalestris longimana",1
"Thoralus cranchii",5
"Torquigener flavimaculosus",1
"Tricellaria inopinata",3
"Tricellaria ternata",1
"Tricolia pullus",2
"Trinchesia foliata",7
"Trisopterus minutus",1
"Tubularia indivisa",1
"Verruca stroemia",3
"Watersipora subtorquata",1
"Zygomolgus dentatus",1
