"Specieslist","BelgianCoast.AZFPin.180712.180818.MF200.EtOH","BelgianCoast.AZFPin.2018.MF500","BelgianCoast.JJ.C8.1.200506.201012.MF100","BelgianCoast.JJ.C8.1.200506.201012.MF500","BelgianCoast.JJ.C8.6.200506.201012.MF100","BelgianCoast.JJ.C8.6.200506.201012.MF500","BelgianCoast.JJ.CD78.200506.201012.MF100","BelgianCoast.ZBE1.190924.200303.MT100","BelgianCoast.ZBE1.190924.200303.SF40","Bjorko.MF100.2020","Bjorko.MF500.2020","Bjorko.SF40.2020","Gbg.1.MF100.2020","Gbg.1.MF500.2020","Gbg.1.SF40.2020","Gbg.2.MF100.2020","Gbg.2.MF500.2020","Gbg.2.SF40.2020","Gbg.3.MF100.2020","Gbg.3.MF500.2020","Gbg.3.SF40.2020","Gbg.4.MF100.2020","Gbg.4.MF500.2020","Gbg.4.SF40.2020","Getxo.1.2019.MF100","Getxo.1.2019.MF500","Getxo.1.2019.SF40","Getxo.2.2019.MF500","Getxo.2A.2019.SF40","Getxo.2B.2019.SF40","Getxo.3.2019.MF100","Getxo.3.2019.MF500","Getxo.3A.2019.SF40","Getxo.3B.2019.SF40","Getxo.3C.2019.SF40","Helsingborg.1.MF100.2020","Helsingborg.1.MF500.2020","Helsingborg.1.SF40.2020","Helsingborg.2.MF100.2020","Helsingborg.2.MF500.2020","Helsingborg.2.SF40.2020","Hjuvik.1.MF100.2020","Hjuvik.1.MF500.2020","Hjuvik.1.SF40.2020","Koster.VH1.MF100.2019","Koster.VH1.MF100.2020","Koster.VH1.MF500.2019","Koster.VH1.MF500.2020","Koster.VH1.SF40.2019","Koster.VH1.SF40.2020","Koster.VH2.MF100.2018.EtOH","Koster.VH2.MF100.2020","Koster.VH2.MF500.2018.EtOH","Koster.VH2.MF500.2020","Koster.VH2.SF40.2018","Koster.VH2.SF40.2020","Koster.VH3.MF100.2019","Koster.VH3.MF100.2020","Koster.VH3.MF500.2019","Koster.VH3.MF500.2020","Koster.VH3.SF40.2020","Laesoe1.190819.200811.MF100.A","Laesoe1.190819.200811.MF500.A","Laesoe1.190819.200811.SF40.A","Laesoe2.190819.200811.MF100.A","Laesoe2.190819.200811.MF500.A","Laesoe2.190819.200811.SF40.A","Laesoe3.190819.200811.MF100.A","Laesoe3.190819.200811.MF500.A","Laesoe3.190819.200811.SF40.A","Limfjord.Green33.2019.MF100","Limfjord.Green33.2019.MF500","Limfjord.Green33.2019.SF40","Limfjord.Red2.2019.MF100","Limfjord.Red2.2019.MF500","Limfjord.Red2.2019.SF40","Limfjord.Yellow8.2019.MF100","Limfjord.Yellow8.2019.MF500","Limfjord.Yellow8.2019.SF40","Marstrand.1.MF100.2020","Marstrand.1.MF500.2020","Marstrand.1.SF40.2020","Marstrand.2.MF100.2020","Marstrand.2.MF500.2020","Marstrand.2.SF40.2020","Marstrand.3.MF100.2020","Marstrand.3.MF500.2020","Marstrand.3.SF40.2020","Plymouth.A.2019.MF100","Plymouth.A.2019.MF500","Plymouth.A.2019.SF40","Plymouth.B.2019.MF100","Plymouth.B.2019.MF500","Plymouth.B.2019.SF40","Plymouth.C.2019.MF100","Plymouth.C.2019.MF500","Plymouth.C.2019.SF40","Plymouth.MBA1.180701.181001.MF100.DMSO","Plymouth.MBA1.180701.181001.MF100.EtOH","Plymouth.MBA1.180701.181001.MF500.DMSO","Plymouth.MBA1.180701.181001.MF500.EtOH","Plymouth.MBA1.180701.181001.SF40.DMSO","Plymouth.MBA1.180701.181001.SF40.EtOH","Plymouth.MBA2.180701.181001.SF40.DMSO","Plymouth.MBA2.180701.181001.SF40.EtOH","Preemraff.1.MF100.2020","Preemraff.1.MF500.2020","Preemraff.1.SF40.2020","Preemraff.2.MF100.2020","Preemraff.2.MF500.2020","Preemraff.2.SF40.2020","Roscoff.BasBloS1.180711.181025.MF100.DMSO","Roscoff.BasBloS1.180711.181025.MF500.DMSO","Roscoff.BasBloS1.180711.181025.SF40.DMSO","Roscoff.BasBloS1.180711.181025.SF40.EtOH","Roscoff.BasBloS1.190612.200527.MF100","Roscoff.BasBloS1.190612.200527.MF500","Roscoff.BasBloS2.190612.200528.SF40","Roscoff.MarBloR1.180709.181024.MF100.DMSO","Roscoff.MarBloR1.180709.181024.MF100.EtOH","Roscoff.MarBloR1.180709.181024.MF500.DMSO","Roscoff.MarBloR1.180709.181024.MF500.EtOH","Roscoff.MarBloR1.180709.181024.SF40.DMSO","Roscoff.MarBloR1.180709.181024.SF40.EtOH","Roscoff.MBloR1.2019.MF100","Roscoff.MBloR1.2019.MF500","Roscoff.MBloR1.2019.SF40","Roscoff.MBloR2.2019.MF100","Roscoff.MBloR2.2019.MF500","Roscoff.MBloR2.2019.SF40","Roscoff.MBloR3.2019.MF100","Roscoff.MBloR3.2019.MF500","Roscoff.MBloR3.2019.SF40","Toralla.A.2019.MF100","Toralla.A.2019.MF500","Toralla.AA.2019.SF40","Toralla.AB.2019.SF40","Toralla.AC.2019.SF40","Toralla.B.2019.MF100","Toralla.B.2019.MF500","Toralla.C.2019.MF100","Toralla.C.2019.MF500","TZS.Angbat.180711.181106.MF100.EtOH","TZS.Angbat.180711.181106.SF48.EtOH","TZS.Angbat.200608.201117.MF100","TZS.Angbat.200608.201117.MF500","TZS.Angbat.200608.201117.SF40","TZS.Angbat.2018.MF500","TZS.Kummelkobben.200608.201120.MF100","TZS.Kummelkobben.200608.201120.MF500","TZS.Kummelkobben.200608.201120.SF40","TZS.Spikarna.180711.181107.MF100.EtOH","TZS.Spikarna.180711.181107.SF48.EtOH","TZS.Spikarna.2018.MF500","Varberg.1.MF100.2020","Varberg.1.MF500.2020","Varberg.1.SF40.2020","Varberg.2.MF100.2020","Varberg.2.SF40.2020","Varberg.3.MF100.2020","Varberg.3.MF500.2020","Varberg.3.SF40.2020"
"Acartia bifilosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Acartia clausi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acartia hudsonica",0,0,0,0,0,0,0,0,0,9,0,8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,651,71,0,0,0,0,0,0,135,0,0,2,0,1,42,1,0,6,0,15,0,459,0,4,0,123,44,475,0,42,26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,167,0,0,391,0,1,289,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,11,0,0
"Acartia longiremis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acartia margalefi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acartia tonsa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acrocnida brachiata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeolidia papillosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aetea truncata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,223,7088,1502,0,0,0,0,0,0,0,0,0,0,792,0,0,19,5,7087,79,1502,0,1561,71,0,46,0,0,17,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,702,772,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Alcyonium digitatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,15,41,3,0,0,5,0,0,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
