"Specieslist","Similarity"
"Acartia bifilosa","98.71"
"Acartia clausi","100"
"Acartia hudsonica","100"
"Acartia longiremis","100"
"Acartia margalefi","97.73"
"Acartia tonsa","100"
"Acrocnida brachiata","100"
"Aeolidia papillosa","100"
"Aetea truncata","100"
"Alcyonium digitatum","100"
"Aleochara obscurella","100"
"Alitta saltoni","100"
"Alitta succinea","99.68"
"Alitta virens","99.63"
"Alvania punctura","100"
"Amathia gracilis","100"
"Amathia imbricata","99.34"
"Amblyosyllis madeirensis","99.31"
"Amphiascopsis cinctus","100"
"Amphibalanus amphitrite","100"
"Amphibalanus eburneus","100"
"Amphibalanus improvisus","100"
"Amphinema dinema","100"
"Amphipholis squamata","99.03"
"Amphiporus allucens","99.68"
"Amphitrite figulus","100"
"Amphiura chiajei","98.7"
"Amphiura filiformis","100"
"Ampithoe helleri","98.71"
"Ancula gibbosa","99.03"
"Anteaeolidiella lurana","99.03"
"Antedon bifida","100"
"Aora gracilis","100"
"Aora spinicornis","98.71"
"Aora typica","100"
"Apherusa bispinosa","100"
"Apherusa jurinei","100"
"Apionsoma misakianum","98.38"
"Arbacia lixula","99.68"
"Arctica islandica","100"
"Arenicola defodiens","100"
"Aricidea minuta","100"
"Ascidia ahodori","99.68"
"Ascidia conchilega","99.63"
"Ascidia mentula","100"
"Ascidia virginea","99.61"
"Ascidiella aspersa","100"
"Ascidiella scabra","100"
"Asterias rubens","100"
"Asterina gibbosa","97.25"
"Athanas nitescens","100"
"Aurelia aurita","100"
"Austrominius modestus","100"
"Bactrocera oleae","100"
"Balanus amphitrite","100"
"Balanus balanus","100"
"Balanus crenatus","100"
"Balanus trigonus","100"
"Barentsia gracilis","100"
"Bittium reticulatum","100"
"Botrylloides leachii","100"
"Botrylloides violaceus","100"
"Botryllus schlosseri","100"
"Bougainvillia britannica","99.35"
"Bougainvillia muscus","100"
"Bowerbankia gracilis complex","100"
"Brachidontes pharaonis","99.49"
"Bugula neritina","100"
"Bugulina fulva","100"
"Bulbamphiascus imus","100"
"Calanus finmarchicus","99.68"
"Calliopius laeviusculus","100"
"Calliostoma zizyphinum","100"
"Callopora lineata","97.09"
"Callyspongia plicifera","99.03"
"Campanularia hincksii","100"
"Candelabrum cocksii","99.68"
"Canis familiaris","100"
"Caprella linearis","97.73"
"Caprella mutica","100"
"Carcinus maenas","100"
"Carinina ochracea","100"
"Cassiopea andromeda","100"
"Catriona aurantia","99.63"
"Cellepora pumicosa","100"
"Celleporaria brunnea","100"
"Celleporella hyalina","100"
"Centropages hamatus","100"
"Cephalothix rufifrons","99.54"
"Cephalothrix filiformis","100"
"Cephalothrix linearis","100"
"Cephalothrix rufifrons","100"
"Cephalothrix simula","97.19"
"Cephalothrix spiralis","99.68"
"Cerastoderma edule","98.86"
"Cerastoderma glaucum","100"
"Cheirocratus sundevallii","100"
"Chironomus aprilinus","100"
"Chironomus plumosus","100"
"Ciliata mustela","100"
"Ciona intestinalis","100"
"Clathria toxitenuis","100"
"Clausocalanus furcatus","100"
"Clava multicornis","100"
"Clavelina lepadiformis","100"
"Cletodes limicola","100"
"Cletodes tenuipes","98.05"
"Cliona celata","100"
"Clione limacina","99.68"
"Clunio marinus","99.35"
"Clytia gracilis","100"
"Clytia hemisphaerica","100"
"Clytia languida","100"
"Clytia paulensis","100"
"Clytia xiamenensis","100"
"Cordylophora caspia","99.68"
"Corella parallelogramma","100"
"Corophium arenarium","100"
"Corymorpha nutans","100"
